ProductID,Flerstyksintervaller,Flerstyksinterspriser
,1;5;10;20;30,3614;3449;3285;3121;2957
,1;5;10;20;30,3614;3449;3285;3121;2957
,1;5;10;20;30,3614;3449;3285;3121;2957
,1;5;10;20;30,3614;3449;3285;3121;2957
,1;5;10;20;30,1462;1396;1329;1263;1196
,1;5;10;20;30,1462;1396;1329;1263;1196
,1;5;10;20;30,1462;1396;1329;1263;1196
,1;5;10;20;30,1462;1396;1329;1263;1196
,1;5;10;20;30,1462;1396;1329;1263;1196
,1;5;10;20;30,2143;2046;1948;1851;1753
,1;5;10;20;30,2143;2046;1948;1851;1753
,1;5;10;20;30,2143;2046;1948;1851;1753
,1;5;10;20;30,2143;2046;1948;1851;1753
,1;5;10;20;30,2143;2046;1948;1851;1753
,1;5;10;20;30,3895;3718;3541;3364;3187
,1;5;10;20;30,3895;3718;3541;3364;3187
,1;5;10;20;30,3895;3718;3541;3364;3187
,1;5;10;20;30,3895;3718;3541;3364;3187
,1;5;10;20;30,3895;3718;3541;3364;3187
,1;5;10;20;30,2065;1971;1878;1784;1690
,1;5;10;20;30,2065;1971;1878;1784;1690
,1;5;10;20;30,2065;1971;1878;1784;1690
,1;5;10;20;30,2065;1971;1878;1784;1690
,1;5;10;20;30,2065;1971;1878;1784;1690
,1;5;10;20;30,2881;2750;2619;2488;2358
,1;5;10;20;30,2881;2750;2619;2488;2358
,1;5;10;20;30,2881;2750;2619;2488;2358
,1;5;10;20;30,2881;2750;2619;2488;2358
,1;5;10;20;30,2881;2750;2619;2488;2358
,1;5;10;20;30,4561;4353;4146;3939;3731
,1;5;10;20;30,4561;4353;4146;3939;3731
,1;5;10;20;30,4561;4353;4146;3939;3731
,1;5;10;20;30,4561;4353;4146;3939;3731
,1;5;10;20;30,4561;4353;4146;3939;3731
,1,13996
,1,1298.5
,1,149
,1,358
,1,250
,1,2294
,1,103.85
,1,103.85
,1;10,5.6;4.1
,1;10,5.6;4.1
,1,1946
,1,13.85
,1,13.85
,1,79
,1,99
,1,14.55
,1,775
,1,12.9
,1,218.7
,1,496
,1,639.5
,1,18.45
,1,4.95
,1,329
,1,10796
,1;100,4.1;3.75
,1;100,4.1;3.75
,1;3;6,698;648;598
,1;3;6,698;648;598
,1;3;6,698;648;598
,1,13.9
,1,176
,1,599
,1,159.95
,1,939
,1,799
,1,869
,1,999
,1,798
,1,988
,1,819
,1;50;100;500;1000,15.3;13.75;12.25;11.85;11.1
,1;50;100;500;1000,15.3;13.75;12.25;11.85;11.1
,1;50;100;500;1000,15.3;13.75;12.25;11.85;11.1
,1;50;100;500;1000,15.3;13.75;12.25;11.85;11.1
,1;50;100;500;1000,15.3;13.75;12.25;11.85;11.1
,1,2859.2
,30,14.85
,40,16.52
,1;50;100;500;1000,9.95;9.35;8.3;8.05;7.5
,1;50;100;500;1000,9.95;9.35;8.3;8.05;7.5
,1;50;100;500;1000,9.95;9.35;8.3;8.05;7.5
,1;50;100;500;1000,9.95;9.35;8.3;8.05;7.5
,1;50;100;500;1000,9.95;9.35;8.3;8.05;7.5
,1;50;100;500;1000,42.95;40.55;38.2;37;34.6
,1;50;100;500;1000,42.95;40.55;38.2;37;34.6
,1;50;100;500;1000,42.95;40.55;38.2;37;34.6
,1;50;100;500;1000,42.95;40.55;38.2;37;34.6
,1;50;100;500;1000,42.95;40.55;38.2;37;34.6
,1;50;100;500;1000,30.15;28.45;26.8;25.95;24.25
,1;50;100;500;1000,30.15;28.45;26.8;25.95;24.25
,1;50;100;500;1000,30.15;28.45;26.8;25.95;24.25
,1;50;100;500;1000,30.15;28.45;26.8;25.95;24.25
,1;50;100;500;1000,30.15;28.45;26.8;25.95;24.25
,1;50;100;500;1000,27.7;26.15;24.6;23.85;22.3
,1;50;100;500;1000,27.7;26.15;24.6;23.85;22.3
,1;50;100;500;1000,27.7;26.15;24.6;23.85;22.3
,1;50;100;500;1000,27.7;26.15;24.6;23.85;22.3
,1;50;100;500;1000,27.7;26.15;24.6;23.85;22.3
,1;50;100;500;1000,33.5;31.65;29.8;28.85;27
,1;50;100;500;1000,33.5;31.65;29.8;28.85;27
,1;50;100;500;1000,33.5;31.65;29.8;28.85;27
,1;50;100;500;1000,33.5;31.65;29.8;28.85;27
,1;50;100;500;1000,33.5;31.65;29.8;28.85;27
,1;50;100;500;1000,44.55;42.1;39.6;38.4;35.9
,1;50;100;500;1000,44.55;42.1;39.6;38.4;35.9
,1;50;100;500;1000,44.55;42.1;39.6;38.4;35.9
,1;50;100;500;1000,44.55;42.1;39.6;38.4;35.9
,1;50;100;500;1000,44.55;42.1;39.6;38.4;35.9
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,29.7;28.05;26.4;25.6;23.95
,1;50;100;500;1000,94.5;89.25;84;81.4;76.15
,1;50;100;500;1000,94.5;89.25;84;81.4;76.15
,1;50;100;500;1000,94.5;89.25;84;81.4;76.15
,1;50;100;500;1000,94.5;89.25;84;81.4;76.15
,1;50;100;500;1000,94.5;89.25;84;81.4;76.15
,1;50;100;500;1000,189;178.5;168;162.75;152.25
,1;50;100;500;1000,189;178.5;168;162.75;152.25
,1;50;100;500;1000,189;178.5;168;162.75;152.25
,1;50;100;500;1000,189;178.5;168;162.75;152.25
,1;50;100;500;1000,189;178.5;168;162.75;152.25
,1;50;100;500;1000,16.95;15.3;13.6;13.15;12.3
,1;50;100;500;1000,16.95;15.3;13.6;13.15;12.3
,1;50;100;500;1000,16.95;15.3;13.6;13.15;12.3
,1;50;100;500;1000,16.95;15.3;13.6;13.15;12.3
,1;50;100;500;1000,16.95;15.3;13.6;13.15;12.3
,1;50;100;500;1000,6.95;6.55;5.85;5.65;5.3
,1;50;100;500;1000,6.95;6.55;5.85;5.65;5.3
,1;50;100;500;1000,6.95;6.55;5.85;5.65;5.3
,1;50;100;500;1000,6.95;6.55;5.85;5.65;5.3
,1;50;100;500;1000,6.95;6.55;5.85;5.65;5.3
,1;5;10;25;50,98.25;88.4;78.6;76.15;71.25
,1;5;10;25;50,98.25;88.4;78.6;76.15;71.25
,1;5;10;25;50,98.25;88.4;78.6;76.15;71.25
,1;5;10;25;50,98.25;88.4;78.6;76.15;71.25
,1;5;10;25;50,98.25;88.4;78.6;76.15;71.25
,1;3;5;10;20,233.65;221.7;203;179;162
,1;3;5;10;20,233.65;221.7;203;179;162
,1;3;5;10;20,233.65;221.7;203;179;162
,1;3;5;10;20,233.65;221.7;203;179;162
,1;3;5;10;20,233.65;221.7;203;179;162
,1;10,8.45;6.95
,1;10,8.45;6.95
,1;2;3;5;10,719;699;679;659;638
,1;2;3;5;10,719;699;679;659;638
,1;2;3;5;10,719;699;679;659;638
,1;2;3;5;10,719;699;679;659;638
,1;2;3;5;10,719;699;679;659;638
,1,699
,1;5;10,999;938;898
,1;5;10,999;938;898
,1;5;10,999;938;898
,1;5;10,736;658;639
,1;5;10,736;658;639
,1;5;10,736;658;639
,1;5;10,736;658;639
,1;5;10,736;658;639
,1;5;10,736;658;639
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;3;6,587;559;536
,1;3;6,587;559;536
,1;3;6,587;559;536
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;5;10,1068;989;948
,1;5;10,1045;935;898
,1;5;10,1045;935;898
,1;5;10,1045;935;898
,1,858
,1;2;3;5;10;25,699;669;639;629;609;548
,1;2;3;5;10;25,699;669;639;629;609;548
,1;2;3;5;10;25,699;669;639;629;609;548
,1;2;3;5;10;25,699;669;639;629;609;548
,1;2;3;5;10;25,699;669;639;629;609;548
,1;2;3;5;10;25,699;669;639;629;609;548
,50,0.9
,10;20;30;50;100,59.95;58.15;56.25;54.4;52.5
,10;20;30;50;100,59.95;58.15;56.25;54.4;52.5
,10;20;30;50;100,59.95;58.15;56.25;54.4;52.5
,10;20;30;50;100,59.95;58.15;56.25;54.4;52.5
,10;20;30;50;100,59.95;58.15;56.25;54.4;52.5
,1,70.65
,1;3;6,4427;3241;2835
,1;3;6,4427;3241;2835
,1;3;6,4427;3241;2835
,1;3;6,4765;3558;3133
,1;3;6,4765;3558;3133
,1;3;6,4765;3558;3133
,1;3;6,3898;3697;3264
,1;3;6,3898;3697;3264
,1;3;6,3898;3697;3264
,1;3;6,5481;4266;3817
,1;3;6,5481;4266;3817
,1;3;6,5481;4266;3817
,1;3;6,4345;3164;2762
,1;3;6,4345;3164;2762
,1;3;6,4345;3164;2762
,1;2;5,390;342;318
,1;2;5,390;342;318
,1;2;5,390;342;318
,1;2;5,539;485;456
,1;2;5,539;485;456
,1;2;5,539;485;456
,1;2;5,985;915;870
,1;2;5,985;915;870
,1;2;5,985;915;870
,1;2;5,1075;1001;953
,1;2;5,1075;1001;953
,1;2;5,1075;1001;953
,1;2;3,1092;1019;970
,1;2;3,1092;1019;970
,1;2;3,1092;1019;970
,1,495
,1;2;3;5;10,1119;1069;999;956;899
,1;2;3;5;10,1119;1069;999;956;899
,1;2;3;5;10,1119;1069;999;956;899
,1;2;3;5;10,1119;1069;999;956;899
,1;2;3;5;10,1119;1069;999;956;899
,1;2;3,1509;1420;1356
,1;2;3,1509;1420;1356
,1;2;3,1509;1420;1356
,1;3;6,589;533;502
,1;3;6,589;533;502
,1;3;6,589;533;502
,1;3;6,580;524;493
,1;3;6,580;524;493
,1;3;6,580;524;493
,1;3;6,382;334;310
,1;3;6,382;334;310
,1;3;6,382;334;310
,1;3;6,496;444;416
,1;3;6,496;444;416
,1;3;6,496;444;416
,1;3;6,382;334;310
,1;3;6,382;334;310
,1;3;6,382;334;310
,1;3;6,496;444;416
,1;3;6,496;444;416
,1;3;6,496;444;416
,1;3;6,420;370;345
,1;3;6,420;370;345
