Art. nr. vores;Art. nr. deres; Ind netto ;kr. v/ kurs;Fragt ;Handling;Ind incl.;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;Vejl. udsalg;% tillæg;Før pris;;;;;;;;
;; i kurs ;"7,50";GNS;;  fragt ; Pris 1 ; Pris 2 ; Pris 3 ; Pris 4 ; Pris 5 ; Pris 6 ; Pris 7 ; Reseller ; EAN ;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
3W230;3W230;"13,41 €";"100,58";12;;" kr 112,64 ";" kr 246,69 ";" kr 236,55 ";" kr 200,51 ";" kr 189,24 ";" kr 168,97 ";;;" kr 180,23 ";" kr 236,55 ";"100,00%";"0,00";;;;;;;;
C330;C330;"3,41 €";"25,58";3;;" kr 28,64 ";" kr 65,88 ";" kr 60,15 ";" kr 50,99 ";" kr 48,12 ";" kr 42,97 ";;;" kr 45,83 ";" kr 60,15 ";"100,00%";"0,00";;;;;;;;
W230;W230;"3,37 €";"25,28";3;;" kr 28,31 ";" kr 70,77 ";" kr 59,45 ";" kr 50,95 ";" kr 48,12 ";" kr 45,29 ";;;" kr 43,88 ";" kr 59,45 ";"100,00%";"0,00";;;;;;;;
W330;W330;"3,36 €";"25,20";3;;" kr 28,22 ";" kr 64,92 ";" kr 59,27 ";" kr 50,24 ";" kr 47,42 ";" kr 42,34 ";;;" kr 45,16 ";" kr 59,27 ";"100,00%";"0,00";;;;;;;;
FBN60x45/GRÅ;FBN45x60GREY;" 11,04 € ";"82,80";" kr 120,00 ";;" kr 82,80 ";349;344;335;327;319;;;286;344;"100,00%";"0,00";;;;;;;;
FBN90x60/GRÅ;FBN60x90GREY;" 18,58 € ";"139,35";" kr 120,00 ";;" kr 139,35 ";506;496;482;468;454;;;399;496;"100,00%";"0,00";;;;;;;;
FBN120x90/GRÅ;FBN90x120GREY;" 36,92 € ";"276,90";" kr 160,00 ";;" kr 276,90 ";927;908;880;852;825;;;714;908;"100,00%";"0,00";;;;;;;;
FBN180x90/GRÅ;FBN90x180GREY;" 55,23 € ";"414,23";" kr 320,00 ";;" kr 414,23 ";1467;1438;1397;1356;1314;;;1148;1438;"100,00%";"0,00";;;;;;;;
FBN150x100/GRÅ;FBN100x150GREY;" 48,29 € ";"362,18";" kr 310,00 ";;" kr 362,18 ";1313;1288;1252;949;1179;;;1034;1288;"100,00%";"0,00";;;;;;;;
FBN200x100/GRÅ;FBN100x200GREY;" 65,53 € ";"491,48";" kr 600,00 ";;" kr 491,48 ";1961;1927;1878;1349;1319;;;1583;1927;"100,00%";"0,00";;;;;;;;
FBN60x45/BLÅ;FBN45x60BLUE;" 11,04 € ";"82,80";" kr 120,00 ";;" kr 82,80 ";349;344;335;327;319;;;286;344;"100,00%";"0,00";;;;;;;;
FBN90x60/BLÅ;FBN60x90BLUE;" 18,58 € ";"139,35";" kr 120,00 ";;" kr 139,35 ";506;496;482;468;454;;;399;496;"100,00%";"0,00";;;;;;;;
FBN120x90/BLÅ;FBN90x120BLUE;" 36,92 € ";"276,90";" kr 160,00 ";;" kr 276,90 ";927;908;880;852;825;;;714;908;"100,00%";"0,00";;;;;;;;
FBN180x90/BLÅ;FBN90x180BLUE;" 53,23 € ";"399,23";" kr 320,00 ";;" kr 399,23 ";1426;1398;1358;1318;1278;;;1118;1398;"100,00%";"0,00";;;;;;;;
FBN150x100/BLÅ;FBN100x150BLUE;" 48,29 € ";"362,18";" kr 310,00 ";;" kr 362,18 ";1313;1288;1252;949;1179;;;1031;1288;"100,00%";"0,00";;;;;;;;
FBN200x100/BLÅ;FBN100x200BLUE;" 65,53 € ";"491,48";" kr 600,00 ";;" kr 491,48 ";1961;1927;1878;1349;1319;;;1578;1927;"100,00%";"0,00";;;;;;;;
FBN60x45/RØD;FBN45x60RED;" 11,04 € ";"82,80";" kr 120,00 ";;" kr 82,80 ";349;344;335;327;319;;;286;344;"100,00%";"0,00";;;;;;;;
FBN120x90/RØD;FBN90x120RED;" 27,27 € ";"204,53";" kr 160,00 ";;" kr 204,53 ";727;712;692;671;651;;;569;712;"100,00%";"0,00";;;;;;;;
FBN180x90/RØD;FBN90x180RED;" 41,37 € ";"310,28";" kr 320,00 ";;" kr 310,28 ";1179;1158;1127;1096;1065;;;941;1158;"100,00%";"0,00";;;;;;;;
FBN150x100/RØD;FBN100x150RED;" 42,36 € ";"317,70";" kr 310,00 ";;" kr 317,70 ";1190;1168;1136;949;1072;;;942;1168;"100,00%";"0,00";;;;;;;;
FBN200x100/RØD;FBN100x200RED;" 40,83 € ";"306,23";" kr 600,00 ";;" kr 306,23 ";1448;1427;1396;1349;1319;;;1209;1427;"100,00%";"0,00";;;;;;;;
FBN60x45/GRØN;FBN45x60GREEN;" 11,04 € ";"82,80";" kr 120,00 ";;" kr 82,80 ";349;344;335;327;319;;;286;344;"100,00%";"0,00";;;;;;;;
FBN120x90/GRØN;FBN90x120GREEN;" 27,27 € ";"204,53";" kr 160,00 ";;" kr 204,53 ";727;712;692;671;651;;;569;712;"100,00%";"0,00";;;;;;;;
FBN180x90/GRØN;FBN90x180GREEN;" 45,40 € ";"340,50";" kr 320,00 ";;" kr 340,50 ";1263;1239;1205;1171;1137;;;1001;1239;"100,00%";"0,00";;;;;;;;
FBN150x100/GRØN;FBN100x150GREEN;" 29,92 € ";"224,40";" kr 310,00 ";;" kr 224,40 ";932;916;893;949;849;;;757;916;"100,00%";"0,00";;;;;;;;
FBN200x100/GRØN;FBN100x200GREEN;" 40,83 € ";"306,23";" kr 600,00 ";;" kr 306,23 ";1448;1427;1396;1349;1319;;;1209;1427;"100,00%";"0,00";;;;;;;;
CBN60x45;CBN45x60;" 10,16 € ";"76,20";" kr 120,00 ";;" kr 76,20 ";331;326;318;311;303;;;272;326;"100,00%";"0,00";;;;;;;;
CBN90x60;CBN60x90;" 17,73 € ";"132,98";" kr 120,00 ";;" kr 132,98 ";488;479;466;452;439;;;386;479;"100,00%";"0,00";;;;;;;;
CBN120x90;CBN90x120;" 36,24 € ";"271,80";" kr 160,00 ";;" kr 271,80 ";913;894;867;840;812;;;704;894;"100,00%";"0,00";;;;;;;;
CBN180x90;CBN90x180;" 52,84 € ";"396,30";" kr 320,00 ";;" kr 396,30 ";1430;1390;1350;1311;1271;;;1113;1390;"100,00%";"0,00";;;;;;;;
CBN150x100;CBN100x150;" 46,05 € ";"345,38";" kr 400,00 ";;" kr 345,38 ";1367;1333;1298;1263;1229;;;1087;1333;"100,00%";"0,00";;;;;;;;
CBN200x100;CBN100x200;" 60,64 € ";"454,80";" kr 600,00 ";;" kr 454,80 ";1873;1828;1782;1737;1692;;;1505;1828;"100,00%";"0,00";;;;;;;;
WBNECS60x45;WBNECS60x45;"9,27 €";"69,53";" kr 120,00 ";;" kr 69,53 ";313;308;301;294;287;;;259;308;"100,00%";"0,00";;;;;;;;
WBNECS90x60;WBNECS90x60;" 15,75 € ";"118,13";" kr 120,00 ";;" kr 118,13 ";447;439;427;415;404;;;356;439;"100,00%";"0,00";;;;;;;;
WBNECS120x90;WBNECS90x120;" 29,59 € ";"221,93";" kr 160,00 ";;" kr 381,93 ";775;759;737;715;693;;;604;759;"100,00%";"0,00";;;;;;;;
WBNECS180x90;WBNECS90x180;" 53,49 € ";"401,18";" kr 320,00 ";;" kr 721,18 ";1443;1403;1363;1323;1283;;;1122;1403;"100,00%";"0,00";;;;;;;;
WBNECS150x100;WBNECS100x150;" 50,49 € ";"378,68";" kr 400,00 ";;" kr 778,68 ";1460;1422;1385;1347;1309;;;1154;1422;"100,00%";"0,00";;;;;;;;
MAGNETS20;MAGNETS20;"1,58 €";"11,85";"4,74";" kr 0,59 ";" kr 11,85 ";39;;;;;;;31;" kr 38,51 ";"100,00%";"0,00";;;;;;;;
MAGNETS20BLÅ;MAGNETS20BLUE;"1,58 €";"11,85";"4,74";" kr 0,59 ";" kr 11,85 ";39;;;;;;;31;" kr 38,51 ";"100,00%";"0,00";;;;;;;;
MAGNETS20HVID;MAGNETS20WHITE;"1,58 €";"11,85";"4,74";" kr 0,59 ";" kr 11,85 ";39;;;;;;;31;" kr 38,51 ";"100,00%";"0,00";;;;;;;;
MAGNETS20RØD;MAGNETS20RED;"1,58 €";"11,85";"4,74";" kr 0,59 ";" kr 11,85 ";39;;;;;;;31;" kr 38,51 ";"100,00%";"0,00";;;;;;;;
MAGNETS20SORT;MAGNETS20BLACK;"1,58 €";"11,85";"4,74";" kr 0,59 ";" kr 11,85 ";39;;;;;;;31;" kr 38,51 ";"100,00%";"0,00";;;;;;;;
SETFIXWB;SETFIXWB;"1,94 €";"14,55";"5,82";" kr 0,73 ";" kr 14,55 ";47;46;43;;;;;39;" kr 45,83 ";"100,00%";"0,00";;;;;;;;
SETPINS;SETPINS;"0,73";"5,48";"1,10";" kr 0,27 ";" kr 5,48 ";17;;;;;;;13;" kr 16,70 ";"100,00%";"0,00";;;;;;;;
WBCLEANER;WBCLEANER;"4,07";"30,53";"6,11";" kr 1,53 ";" kr 30,53 ";67;61;55;;;;;49;61;"100,00%";"0,00";;;;;;;;
WBERASER;WBERASER;"0,74";"5,55";"2,22";" kr 0,28 ";" kr 5,55 ";25;21;19;;;;; kr 12 ;" kr 20,81 ";"100,00%";"0,00";;;;;;;;
SS86x55;SS86x55;"2,95 €";"22,13";3;" kr 1,11 ";" kr 22,13 ";59;54;48;46;44;40;;39;48;"100,00%";"0,00";;;;;;;;
SS100x200;SS100x200;"3,91 €";"29,33";4;" kr 1,47 ";" kr 29,33 ";78;71;64;61;58;53;;52;64;"100,00%";"0,00";;;;;;;;
SS50x148;SS50x148;"3,49 €";"26,18";3;" kr 1,31 ";" kr 26,18 ";70;63;57;54;52;48;;46;57;"100,00%";"0,00";;;;;;;;
SS105x297;SS105x297;"4,04 €";"30,30";4;" kr 1,52 ";" kr 30,30 ";81;73;66;63;60;55;;54;66;"100,00%";"0,00";;;;;;;;
SS155x155;SS155x155;"4,02 €";"30,15";4;" kr 1,51 ";" kr 30,15 ";81;73;65;62;59;55;;53;65;"100,00%";"0,00";;;;;;;;
SS170x160;SS170x160;"4,22 €";"31,65";4;" kr 1,58 ";" kr 31,65 ";85;77;69;66;62;58;;56;69;"100,00%";"0,00";;;;;;;;
SS170x120;SS170x120;"4,06 €";"30,45";4;" kr 1,52 ";" kr 30,45 ";81;74;66;63;60;55;;54;66;"100,00%";"0,00";;;;;;;;
SS200x200;SS200x200;"4,53 €";"33,98";4;" kr 1,70 ";" kr 33,98 ";91;82;74;70;67;62;;60;74;"100,00%";"0,00";;;;;;;;
SSA6;SSA6;"3,62 €";"27,15";3;" kr 1,36 ";" kr 27,15 ";72;66;59;56;53;49;;48;59;"100,00%";"0,00";;;;;;;;
SSA5;SSA5;"4,09 €";"30,68";4;" kr 1,53 ";" kr 30,68 ";82;74;67;63;60;56;;54;67;"100,00%";"0,00";;;;;;;;
SSA4;SSA4;"4,84 €";"36,30";4;" kr 1,82 ";" kr 36,30 ";97;88;79;75;72;66;;64;79;"100,00%";"0,00";;;;;;;;
CHMARK15;CHMARK15;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/BLÅ;CHMARK15DARKBLUE;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/GRØN;CHMARK15DARKGREEN;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/ORANGE;CHMARK15ORANGE;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/LYSERØD;CHMARK15PINK;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/LILLA;CHMARK15PURPLE;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/RØD;CHMARK15RED;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/HVID;CHMARK15WHITE;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK15/GUL;CHMARK15YELLOW;"1,77 €";"13,28";"1,99";" kr 1,33 ";" kr 13,28 ";" kr 30,5 ";" kr 25,2 ";;;;;;" kr 22,6 ";;;"0,00";;;;;;;;
CHMARK3;CHMARK3;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/BLÅ;CHMARK3DARKBLUE;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/GRØN;CHMARK3DARKGREEN;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/ORANGE;CHMARK3ORANGE;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/LYSERØD;CHMARK3PINK;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/LILLA;CHMARK3PURPLE;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/RØD;CHMARK3RED;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/HVID;CHMARK3WHITE;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
CHMARK3/GUL;CHMARK3YELLOW;" 0,94 € ";"7,02";"1,05";" kr 0,70 ";" kr 7,02 ";" kr 19,7 ";" kr 16,1 ";;;;;;" kr 14,0 ";;;"0,00";;;;;;;;
